Year,Country,GDP (Current USD),Total Population,Life Expectancy,GDP/Capita,Area (km2),Population Density (/km2),Unemployment Rate (%)
1965,China,70436266147.00,715185000.00,54.00,98.00,9562950.00,76.00, -
1965,France,102160571409.00,50023774.00,71.00,2042.00,549086.00,91.00, -
1965,United Kingdom,100595782309.00,54348050.00,72.00,1851.00,243610.00,225.00, -
1965,India,58760424670.00,497702365.00,45.00,118.00,3287260.00,167.00, -
1965,Ireland,2945704143.00,2877300.00,71.00,1024.00,70280.00,42.00, -
1965,Italy,67978153851.00,52112350.00,70.00,1304.00,301340.00,177.00, -
1965,Mexico,21840000000.00,44623043.00,60.00,489.00,1964380.00,23.00, -
1965,Nigeria,5874422512.00,50127214.00,43.00,117.00,923770.00,55.00, -
1965,Netherlands,21000586933.00,12294732.00,74.00,1708.00,41530.00,364.00, -
1965,New Zealand,5654463586.00,2628400.00,71.00,2151.00,267710.00,10.00, -
1965,Thailand,4388937649.00,31822796.00,58.00,138.00,513120.00,62.00, -
1965,United States,743700000000.00,194303000.00,70.00,3828.00,9629090.00,21.00,5.00
1966,Australia,27261731437.00,11651000.00,71.00,2340.00,7741220.00,2.00, -
1966,Brazil,27062716578.00,85837799.00,58.00,315.00,8515770.00,10.00, -
1966,Canada,60358632035.00,20048000.00,72.00,3011.00,9984670.00,2.00, -
1966,China,76720285970.00,735400000.00,55.00,104.00,9562950.00,78.00, -
1966,France,110597467199.00,50508717.00,72.00,2190.00,549086.00,92.00, -
1966,United Kingdom,107090721447.00,54648500.00,71.00,1960.00,243610.00,226.00, -
1966,India,45253641303.00,508161935.00,46.00,89.00,3287260.00,171.00, -
1966,Ireland,3104034393.00,2888800.00,71.00,1075.00,70280.00,42.00, -
1966,Italy,73654870011.00,52519000.00,71.00,1402.00,301340.00,179.00, -
1966,Mexico,24320000000.00,46011038.00,60.00,529.00,1964380.00,24.00, -
1966,Nigeria,6366792664.00,51217359.00,44.00,124.00,923770.00,56.00, -
1966,Netherlands,22867203317.00,12456251.00,74.00,1836.00,41530.00,369.00, -
1966,New Zealand,5863733231.00,2675900.00,71.00,2191.00,267710.00,10.00, -
1966,Thailand,5279230817.00,32789096.00,58.00,161.00,513120.00,64.00, -
1966,United States,815000000000.00,196560000.00,70.00,4146.00,9629090.00,21.00,4.00
1967,Australia,30389741292.00,11799000.00,71.00,2576.00,7741220.00,2.00, -
1967,Brazil,30591834054.00,88191378.00,58.00,347.00,8515770.00,11.00, -
1967,Canada,64768831262.00,20412000.00,72.00,3173.00,9984670.00,2.00, -
1967,China,72881631327.00,754550000.00,57.00,97.00,9562950.00,80.00, -
1967,France,119466139620.00,50915456.00,72.00,2346.00,549086.00,93.00, -
1967,United Kingdom,111185383410.00,54943600.00,72.00,2024.00,243610.00,227.00, -
1967,India,49466168891.00,518889779.00,46.00,95.00,3287260.00,175.00, -
1967,Ireland,3343636773.00,2902450.00,72.00,1152.00,70280.00,42.00, -
1967,Italy,81133120065.00,52900500.00,71.00,1534.00,301340.00,180.00, -
1967,Mexico,26560000000.00,47429812.00,61.00,560.00,1964380.00,24.00, -
1967,Nigeria,5203135937.00,52341834.00,38.00,99.00,923770.00,57.00, -
1967,Netherlands,25087562181.00,12598201.00,74.00,1991.00,41530.00,373.00, -
1967,New Zealand,5961418094.00,2724100.00,72.00,2188.00,267710.00,10.00, -
1967,Thailand,5638461442.00,33778504.00,59.00,167.00,513120.00,66.00, -
1967,United States,861700000000.00,198712000.00,71.00,4336.00,9629090.00,22.00,4.00
1968,Australia,32657632434.00,12009000.00,71.00,2719.00,7741220.00,2.00, -
1968,Brazil,33875881876.00,90557064.00,59.00,374.00,8515770.00,11.00, -
1968,Canada,70759031842.00,20744000.00,72.00,3411.00,9984670.00,2.00, -
1968,China,70846535056.00,774510000.00,58.00,91.00,9562950.00,82.00, -
1968,France,129847107788.00,51276054.00,72.00,2532.00,549086.00,94.00, -
1968,United Kingdom,104702736248.00,55211700.00,72.00,1896.00,243610.00,228.00, -
1968,India,52377324284.00,529967317.00,47.00,99.00,3287260.00,178.00, -
1968,Ireland,3278584478.00,2915550.00,72.00,1125.00,70280.00,42.00, -
